WKT,InputID,TargetID,Distance
"MULTIPOINT ((-72,795222 -41,488582),(-72,4675128 -41,9628864))",PUERTO MONTT,HUALANE,59.339385421597
"MULTIPOINT ((-72,795222 -41,488582),(-72,4783901 -41,9672447))",PUERTO MONTT,HUALANE,59.364835468761
"MULTIPOINT ((-72,795222 -41,488582),(-72,6418761 -42,0107015))",PUERTO MONTT,HUALANE,59.434375010918
"MULTIPOINT ((-72,795222 -41,488582),(-72,4716328 -41,9667729))",PUERTO MONTT,HUALANE,59.568526220132
"MULTIPOINT ((-72,795222 -41,488582),(-72,4715987 -41,9708662))",PUERTO MONTT,HUALANE,59.976040889842
"MULTIPOINT ((-72,795222 -41,488582),(-72,6878814 -42,0253778))",PUERTO MONTT,HUALANE,60.349343609023
"MULTIPOINT ((-72,795222 -41,488582),(-72,0676688 -41,5274648))",PUERTO MONTT,PUERTO MONTT,60.737329620163
"MULTIPOINT ((-72,795222 -41,488582),(-72,0672718 -41,5262199))",PUERTO MONTT,PUERTO MONTT,60.761193801593
"MULTIPOINT ((-72,795222 -41,488582),(-73,418915 -41,157053))",PUERTO MONTT,FRESIA,63.808832052367
"MULTIPOINT ((-72,795222 -41,488582),(-73,422739 -41,153566))",PUERTO MONTT,FRESIA,64.294758988754
"MULTIPOINT ((-72,795222 -41,488582),(-73,490062 -41,2193912))",PUERTO MONTT,FRESIA,65.264894003112
"MULTIPOINT ((-72,795222 -41,488582),(-72,0021674 -41,4711235))",PUERTO MONTT,PUERTO MONTT,66.094733868132
"MULTIPOINT ((-72,795222 -41,488582),(-73,5961971 -41,6159818))",PUERTO MONTT,MAULLÍN,68.139668686441
"MULTIPOINT ((-72,795222 -41,488582),(-73,5948029 -41,623062))",PUERTO MONTT,MAULLÍN,68.190928800303
"MULTIPOINT ((-72,795222 -41,488582),(-73,6022766 -41,6178322))",PUERTO MONTT,MAULLÍN,68.676403846756
"MULTIPOINT ((-72,795222 -41,488582),(-73,6027868 -41,6219466))",PUERTO MONTT,MAULLÍN,68.812964413133
"MULTIPOINT ((-72,795222 -41,488582),(-73,5038 -41,832528))",PUERTO MONTT,ANCUD,70.19652093312
"MULTIPOINT ((-72,795222 -41,488582),(-73,525099 -41,829795))",PUERTO MONTT,ANCUD,71.526119033211
"MULTIPOINT ((-72,795222 -41,488582),(-73,52742 -41,82919))",PUERTO MONTT,ANCUD,71.654306509194
"MULTIPOINT ((-72,795222 -41,488582),(-73,4119589 -41,0391103))",PUERTO MONTT,FRESIA,71.799001466715
"MULTIPOINT ((-72,795222 -41,488582),(-73,478504 -41,896349))",PUERTO MONTT,ANCUD,72.626090120291
"MULTIPOINT ((-72,795222 -41,488582),(-73,6772919 -41,5639915))",PUERTO MONTT,MAULLÍN,73.905640076624
"MULTIPOINT ((-72,795222 -41,488582),(-73,6655156 -41,6415012))",PUERTO MONTT,MAULLÍN,74.374458044309
"MULTIPOINT ((-72,795222 -41,488582),(-73,52316 -41,88311))",PUERTO MONTT,ANCUD,74.688953124623
"MULTIPOINT ((-72,795222 -41,488582),(-73,5229601 -41,88401))",PUERTO MONTT,ANCUD,74.734010986154
"MULTIPOINT ((-72,795222 -41,488582),(-73,523748 -41,884102))",PUERTO MONTT,ANCUD,74.792904938379
"MULTIPOINT ((-72,795222 -41,488582),(-73,5177 -41,90632))",PUERTO MONTT,ANCUD,75.865854452844
"MULTIPOINT ((-72,795222 -41,488582),(-73,517922 -41,906327))",PUERTO MONTT,ANCUD,75.880901961489
"MULTIPOINT ((-72,795222 -41,488582),(-73,540566 -41,924916))",PUERTO MONTT,ANCUD,78.62723322011
"MULTIPOINT ((-72,795222 -41,488582),(-73,62665 -41,82646))",PUERTO MONTT,ANCUD,78.628509616379
"MULTIPOINT ((-72,795222 -41,488582),(-73,62742 -41,82638))",PUERTO MONTT,ANCUD,78.68049989898
"MULTIPOINT ((-72,795222 -41,488582),(-73,7052812 -41,7443708))",PUERTO MONTT,MAULLÍN,80.822452949411
"MULTIPOINT ((-72,795222 -41,488582),(-73,7062388 -41,7461359))",PUERTO MONTT,MAULLÍN,80.965212345028
"MULTIPOINT ((-72,795222 -41,488582),(-73,539213 -41,967356))",PUERTO MONTT,ANCUD,81.523121502374
"MULTIPOINT ((-72,795222 -41,488582),(-73,675202 -41,819371))",PUERTO MONTT,ANCUD,81.840667945465
"MULTIPOINT ((-72,795222 -41,488582),(-73,4319 -42,0603))",PUERTO MONTT,QUEMCHI,82.636809347095
"MULTIPOINT ((-72,795222 -41,488582),(-73,59625 -41,941146))",PUERTO MONTT,ANCUD,83.383882836088
"MULTIPOINT ((-72,795222 -41,488582),(-73,662018 -41,886056))",PUERTO MONTT,ANCUD,84.463054362556
"MULTIPOINT ((-72,795222 -41,488582),(-73,64401 -41,90848))",PUERTO MONTT,ANCUD,84.533237301944
"MULTIPOINT ((-72,795222 -41,488582),(-73,64075 -41,914665))",PUERTO MONTT,ANCUD,84.687748561868
"MULTIPOINT ((-72,795222 -41,488582),(-73,441 -42,105))",PUERTO MONTT,QUEMCHI,86.969793447293
"MULTIPOINT ((-72,795222 -41,488582),(-72,604555 -40,683558))",PUERTO MONTT,PUYEHUE,90.92977977059
"MULTIPOINT ((-72,795222 -41,488582),(-73,740891 -41,901957))",PUERTO MONTT,ANCUD,90.98127221108
"MULTIPOINT ((-72,795222 -41,488582),(-73,4751 -42,1335))",PUERTO MONTT,QUEMCHI,91.199926921972
"MULTIPOINT ((-72,795222 -41,488582),(-73,4724 -42,1354))",PUERTO MONTT,QUEMCHI,91.227800069288
"MULTIPOINT ((-72,795222 -41,488582),(-73,4746 -42,1361))",PUERTO MONTT,QUEMCHI,91.401188008734
"MULTIPOINT ((-72,795222 -41,488582),(-73,4735 -42,1402))",PUERTO MONTT,QUEMCHI,91.703730154842
"MULTIPOINT ((-72,795222 -41,488582),(-73,471 -42,1434))",PUERTO MONTT,QUEMCHI,91.857813119118
"MULTIPOINT ((-72,795222 -41,488582),(-73,4714 -42,144))",PUERTO MONTT,QUEMCHI,91.930746249669
"MULTIPOINT ((-72,795222 -41,488582),(-73,4728 -42,1442))",PUERTO MONTT,QUEMCHI,92.01907268331
"MULTIPOINT ((-72,795222 -41,488582),(-73,4735 -42,1444))",PUERTO MONTT,QUEMCHI,92.072040497315
