distance,lat,status,lng,owner,type,address_type,manager,address_number,address_name,region/id,region/abbreviation,region/name,commune/id,commune/name,materials/0,materials/1,materials/2,materials/3,materials/4,materials/5
15.890283349407113,-41.47680000,open,-72.98533000,Municipalidad de Puerto Montt,pv,,Cosemar,,Calle Maximiliano Uribe,10,ll,Los Lagos,244,Puerto Montt,plastic,,,,,
17.248886166509223,-41.48565200,open,-73.00226600,Municipalidad de Puerto Montt,pv,,Cosemar,,"Calle Bosque Amarillo, Bosquemar",10,ll,Los Lagos,244,Puerto Montt,plastic,,,,,
24.364416530636614,-41.32162800,open,-72.98442000,Municipalidad de Puerto Varas,pl,,Municipalidad de Puerto Varas,,CALLE SANTA ROSA  S/N (POSTERIOR GIMNACIO FICFAL),10,ll,Los Lagos,252,Puerto Varas,glass,paper,plastic,,,
30.08921576023892,-41.32531100,open,-73.08293600,Municipalidad de Puerto Varas,pl,,Municipalidad de Puerto Varas,,CALLE OTTO KLEIN DORNER,10,ll,Los Lagos,252,Puerto Varas,glass,paper,plastic,,,
35.27825006182371,-41.80043520,open,-72.71713790,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,,Sector Contao,10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
38.976877134531854,-41.48439000,open,-72.32733400,Municipalidad de Puerto Varas,pl,,Municipalidad de Puerto Varas,,SECTOR CALETA ROLLIZO,10,ll,Los Lagos,252,Puerto Varas,glass,paper,plastic,,,
41.69909521753877,-41.76496400,open,-73.13431720,Municipalidad de Calbuco,pv,,Municipalidad de Calbuco,S/N,O'higgins (caseta ESSAL),10,ll,Los Lagos,245,Calbuco,glass,plastic,metal,,,
42.01930678581125,-41.75599220,open,-73.15240570,Municipalidad de Calbuco,pv,,Municipalidad de Calbuco,,Plaza Círculo Fraterno,10,ll,Los Lagos,245,Calbuco,glass,plastic,metal,,,
42.336845590484415,-41.77316690,open,-73.13363350,Municipalidad de Calbuco,pv,,Municipalidad de Calbuco,151,Presidente Carlos ibañez del Campo (Escuela Balmaceda),10,ll,Los Lagos,245,Calbuco,glass,plastic,metal,,,
42.72048807216675,-41.76190750,open,-73.15642550,Municipalidad de Calbuco,pv,,Municipalidad de Calbuco,493,Pedro Felix Oyarzún (costado del Liceo Hernandez Ortiz Pizarro) ,10,ll,Los Lagos,245,Calbuco,glass,plastic,metal,,,
43.64798529648501,-41.78412610,open,-73.14088610,Municipalidad de Calbuco,pv,,Municipalidad de Calbuco,,Escuela Libertador Bernardo O´higgins Riquelme,10,ll,Los Lagos,245,Calbuco,glass,plastic,metal,,,
43.679264240612895,-41.88113580,open,-72.81450540,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,,Sector Aulen,10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
45.99908245655468,-41.80034740,open,-73.15908850,Municipalidad de Calbuco,pv,,Municipalidad de Calbuco,,Parque Municipal Caicaén,10,ll,Los Lagos,245,Calbuco,glass,plastic,metal,,,
